STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
Andaman and Nicobar Islands,2013,MURDER,0,0,0,7,0,7,22,0,22,9,0,9,38,0,38
Andaman and Nicobar Islands,2013,ATTEMPT TO COMMIT MURDER,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Andaman and Nicobar Islands,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
Andaman and Nicobar Islands,2013,RAPE,0,0,0,2,0,2,3,0,3,1,0,1,6,0,6
Andaman and Nicobar Islands,2013,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,ROBBERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,BURGLARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,THEFTS,0,0,0,1,0,1,0,1,1,0,0,0,1,1,2
Andaman and Nicobar Islands,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,CHEATING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2013,OTHER IPC CRIMES,0,0,0,1,0,1,5,0,5,1,0,1,7,0,7
Andaman and Nicobar Islands,2013,TOTAL IPC,0,0,0,11,0,11,35,1,36,11,0,11,57,1,58
Andhra Pradesh,2013,MURDER,0,0,0,822,32,854,1612,121,1733,177,41,218,2611,194,2805
Andhra Pradesh,2013,ATTEMPT TO COMMIT MURDER,0,0,0,28,1,29,74,7,81,13,1,14,115,9,124
Andhra Pradesh,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,16,0,16,22,0,22,10,0,10,48,0,48
Andhra Pradesh,2013,RAPE,0,0,0,72,0,72,51,1,52,8,0,8,131,1,132
Andhra Pradesh,2013,KIDNAPPING AND ABDUCTION,0,0,0,22,0,22,22,2,24,2,0,2,46,2,48
Andhra Pradesh,2013,DACOITY,0,0,0,39,1,40,48,2,50,3,0,3,90,3,93
Andhra Pradesh,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Andhra Pradesh,2013,ROBBERY,0,0,0,32,0,32,23,2,25,3,0,3,58,2,60
Andhra Pradesh,2013,BURGLARY,0,0,0,21,0,21,13,0,13,5,0,5,39,0,39
Andhra Pradesh,2013,THEFTS,0,0,0,248,0,248,106,1,107,5,1,6,359,2,361
Andhra Pradesh,2013,EXTORTION,0,0,0,9,0,9,5,0,5,0,0,0,14,0,14
Andhra Pradesh,2013,RIOTS,0,0,0,1,0,1,3,0,3,0,0,0,4,0,4
Andhra Pradesh,2013,ARSON,0,0,0,0,0,0,5,0,5,3,0,3,8,0,8
Andhra Pradesh,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,CHEATING,0,0,0,9,1,10,9,1,10,0,1,1,18,3,21
Andhra Pradesh,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
Andhra Pradesh,2013,DOWRY DEATHS,0,0,0,36,1,37,93,15,108,15,14,29,144,30,174
Andhra Pradesh,2013,MOLESTATION,0,0,0,9,0,9,11,0,11,1,0,1,21,0,21
Andhra Pradesh,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,9,0,9,14,0,14,1,0,1,24,0,24
Andhra Pradesh,2013,OTHER IPC CRIMES,0,0,0,133,1,134,97,3,100,25,0,25,255,4,259
Andhra Pradesh,2013,TOTAL IPC,0,0,0,1509,37,1546,2208,155,2363,274,58,332,3991,250,4241
Arunachal Pradesh,2013,MURDER,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Arunachal Pradesh,2013,ATTEMPT TO COMMIT MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,2,1,3,0,0,0,2,1,3
Arunachal Pradesh,2013,RAPE,0,0,0,1,0,1,2,0,2,2,0,2,5,0,5
Arunachal Pradesh,2013,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,ROBBERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,BURGLARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,THEFTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,EXTORTION,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Arunachal Pradesh,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,CHEATING,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Arunachal Pradesh,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,OTHER IPC CRIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,TOTAL IPC,0,0,0,1,0,1,7,1,8,2,0,2,10,1,11
Assam,2013,MURDER,0,0,0,394,10,404,1022,40,1062,280,12,292,1696,62,1758
Assam,2013,ATTEMPT TO COMMIT MURDER,0,0,0,40,0,40,257,8,265,57,3,60,354,11,365
Assam,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,31,1,32,92,9,101,27,0,27,150,10,160
Assam,2013,RAPE,0,0,0,60,0,60,173,3,176,19,0,19,252,3,255
Assam,2013,KIDNAPPING AND ABDUCTION,0,0,0,20,1,21,38,0,38,2,2,4,60,3,63
Assam,2013,DACOITY,0,0,0,19,0,19,32,0,32,5,1,6,56,1,57
Assam,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3
Assam,2013,ROBBERY,0,0,0,10,0,10,16,1,17,0,0,0,26,1,27
Assam,2013,BURGLARY,0,0,0,2,0,2,10,0,10,0,0,0,12,0,12
Assam,2013,THEFTS,0,0,0,25,0,25,70,1,71,12,1,13,107,2,109
Assam,2013,EXTORTION,0,0,0,2,0,2,6,0,6,2,0,2,10,0,10
Assam,2013,RIOTS,0,0,0,7,0,7,4,0,4,0,0,0,11,0,11
Assam,2013,ARSON,0,0,0,5,0,5,11,0,11,2,0,2,18,0,18
Assam,2013,CRIMINAL BREACH OF TRUST,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Assam,2013,CHEATING,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Assam,2013,COUNTER FEITING,0,0,0,8,0,8,3,0,3,0,0,0,11,0,11
Assam,2013,DOWRY DEATHS,0,0,0,2,0,2,20,0,20,2,0,2,24,0,24
Assam,2013,MOLESTATION,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Assam,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,4,0,4,16,0,16,1,0,1,21,0,21
Assam,2013,OTHER IPC CRIMES,0,0,0,12,0,12,22,3,25,3,0,3,37,3,40
Assam,2013,TOTAL IPC,0,0,0,644,12,656,1796,65,1861,414,19,433,2854,96,2950
Bihar,2013,MURDER,0,0,0,489,5,494,1186,31,1217,604,15,619,2279,51,2330
Bihar,2013,ATTEMPT TO COMMIT MURDER,0,0,0,76,2,78,197,7,204,62,3,65,335,12,347
Bihar,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,13,1,14,44,4,48,16,3,19,73,8,81
Bihar,2013,RAPE,0,0,0,60,0,60,54,0,54,9,0,9,123,0,123
Bihar,2013,KIDNAPPING AND ABDUCTION,0,0,0,63,2,65,102,2,104,49,2,51,214,6,220
Bihar,2013,DACOITY,0,0,0,40,1,41,76,0,76,24,0,24,140,1,141
Bihar,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,16,0,16,11,0,11,8,1,9,35,1,36
Bihar,2013,ROBBERY,0,0,0,35,0,35,35,0,35,10,0,10,80,0,80
Bihar,2013,BURGLARY,0,0,0,3,0,3,9,0,9,2,0,2,14,0,14
Bihar,2013,THEFTS,0,0,0,65,0,65,67,0,67,27,0,27,159,0,159
Bihar,2013,EXTORTION,0,0,0,12,0,12,14,0,14,1,0,1,27,0,27
Bihar,2013,RIOTS,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Bihar,2013,ARSON,0,0,0,2,0,2,7,0,7,3,0,3,12,0,12
Bihar,2013,CRIMINAL BREACH OF TRUST,0,0,0,3,0,3,6,0,6,0,0,0,9,0,9
Bihar,2013,CHEATING,0,0,0,6,0,6,12,0,12,3,0,3,21,0,21
Bihar,2013,COUNTER FEITING,0,0,0,3,0,3,8,0,8,0,0,0,11,0,11
Bihar,2013,DOWRY DEATHS,0,0,0,50,4,54,129,15,144,73,11,84,252,30,282
Bihar,2013,MOLESTATION,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
Bihar,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,6,1,7,15,0,15,1,0,1,22,1,23
Bihar,2013,OTHER IPC CRIMES,0,0,0,4,0,4,3,1,4,3,1,4,10,2,12
Bihar,2013,TOTAL IPC,0,0,0,949,16,965,1979,60,2039,895,36,931,3823,112,3935
Chandigarh,2013,MURDER,0,0,0,28,2,30,21,4,25,8,1,9,57,7,64
Chandigarh,2013,ATTEMPT TO COMMIT MURDER,0,0,0,6,0,6,6,0,6,4,0,4,16,0,16
Chandigarh,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,4,0,4,5,1,6,2,0,2,11,1,12
Chandigarh,2013,RAPE,0,0,0,22,0,22,14,1,15,4,0,4,40,1,41
Chandigarh,2013,KIDNAPPING AND ABDUCTION,0,0,0,6,0,6,5,0,5,3,0,3,14,0,14
Chandigarh,2013,DACOITY,0,0,0,3,0,3,2,0,2,2,0,2,7,0,7
Chandigarh,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,4,0,4,4,0,4,0,0,0,8,0,8
Chandigarh,2013,ROBBERY,0,0,0,1,0,1,2,0,2,4,0,4,7,0,7
Chandigarh,2013,BURGLARY,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
Chandigarh,2013,THEFTS,0,0,0,6,1,7,7,1,8,6,0,6,19,2,21
Chandigarh,2013,EXTORTION,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Chandigarh,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,CRIMINAL BREACH OF TRUST,0,0,0,4,0,4,2,0,2,0,0,0,6,0,6
Chandigarh,2013,CHEATING,0,0,0,2,0,2,3,0,3,0,0,0,5,0,5
Chandigarh,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,DOWRY DEATHS,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
Chandigarh,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
Chandigarh,2013,OTHER IPC CRIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,TOTAL IPC,0,0,0,89,3,92,76,7,83,36,1,37,201,11,212
Chhatisgarh,2013,MURDER,0,0,0,1250,67,1317,2032,114,2146,740,30,770,4022,211,4233
Chhatisgarh,2013,ATTEMPT TO COMMIT MURDER,0,0,0,137,5,142,125,1,126,38,2,40,300,8,308
Chhatisgarh,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,73,1,74,73,3,76,23,4,27,169,8,177
Chhatisgarh,2013,RAPE,0,0,0,300,1,301,229,0,229,52,0,52,581,1,582
Chhatisgarh,2013,KIDNAPPING AND ABDUCTION,0,0,0,27,4,31,22,2,24,8,0,8,57,6,63
Chhatisgarh,2013,DACOITY,0,0,0,71,0,71,52,0,52,6,0,6,129,0,129
Chhatisgarh,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,3,0,3,1,0,1,0,0,0,4,0,4
Chhatisgarh,2013,ROBBERY,0,0,0,54,0,54,38,0,38,4,0,4,96,0,96
Chhatisgarh,2013,BURGLARY,0,0,0,22,0,22,16,0,16,0,0,0,38,0,38
Chhatisgarh,2013,THEFTS,0,0,0,51,1,52,29,0,29,2,0,2,82,1,83
Chhatisgarh,2013,EXTORTION,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
Chhatisgarh,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhatisgarh,2013,ARSON,0,0,0,6,0,6,2,0,2,2,0,2,10,0,10
Chhatisgarh,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhatisgarh,2013,CHEATING,0,0,0,13,0,13,19,0,19,9,0,9,41,0,41
Chhatisgarh,2013,COUNTER FEITING,0,0,0,14,1,15,9,0,9,2,0,2,25,1,26
Chhatisgarh,2013,DOWRY DEATHS,0,0,0,83,5,88,31,19,50,20,11,31,134,35,169
Chhatisgarh,2013,MOLESTATION,0,0,0,15,0,15,10,0,10,2,0,2,27,0,27
Chhatisgarh,2013,EVE-TEASING,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Chhatisgarh,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,2,0,2,6,1,7,0,0,0,8,1,9
Chhatisgarh,2013,OTHER IPC CRIMES,0,0,0,64,0,64,38,3,41,5,3,8,107,6,113
Chhatisgarh,2013,TOTAL IPC,0,0,0,2188,85,2273,2733,143,2876,913,50,963,5834,278,6112
Dadra and Nagar Haveli,2013,MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,ATTEMPT TO COMMIT MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,ROBBERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,BURGLARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,THEFTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,CHEATING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,OTHER IPC CRIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,2013,TOTAL IPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,MURDER,0,0,0,2,0,2,6,1,7,4,0,4,12,1,13
Daman and Diu,2013,ATTEMPT TO COMMIT MURDER,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Daman and Diu,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,RAPE,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Daman and Diu,2013,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,ROBBERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,BURGLARY,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Daman and Diu,2013,THEFTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,CHEATING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,OTHER IPC CRIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,2013,TOTAL IPC,0,0,0,6,0,6,7,1,8,4,0,4,17,1,18
Delhi,2013,MURDER,0,0,0,406,10,416,528,33,561,153,19,172,1087,62,1149
Delhi,2013,ATTEMPT TO COMMIT MURDER,0,0,0,112,0,112,120,2,122,38,1,39,270,3,273
Delhi,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,6,0,6,2,1,3,1,1,2,9,2,11
Delhi,2013,RAPE,0,0,0,218,0,218,213,4,217,35,2,37,466,6,472
Delhi,2013,KIDNAPPING AND ABDUCTION,0,0,0,58,6,64,52,7,59,9,3,12,119,16,135
Delhi,2013,DACOITY,0,0,0,124,0,124,162,0,162,8,0,8,294,0,294
Delhi,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,5,0,5,6,0,6,0,0,0,11,0,11
Delhi,2013,ROBBERY,0,0,0,66,0,66,44,0,44,1,0,1,111,0,111
Delhi,2013,BURGLARY,0,0,0,6,0,6,0,0,0,1,0,1,7,0,7
Delhi,2013,THEFTS,0,0,0,65,0,65,115,1,116,10,0,10,190,1,191
Delhi,2013,EXTORTION,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Delhi,2013,RIOTS,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Delhi,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2013,CRIMINAL BREACH OF TRUST,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Delhi,2013,CHEATING,0,0,0,12,0,12,32,0,32,33,0,33,77,0,77
Delhi,2013,COUNTER FEITING,0,0,0,3,0,3,8,3,11,1,0,1,12,3,15
Delhi,2013,DOWRY DEATHS,0,0,0,26,0,26,43,1,44,8,7,15,77,8,85
Delhi,2013,MOLESTATION,0,0,0,4,0,4,2,0,2,6,0,6,12,0,12
Delhi,2013,EVE-TEASING,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Delhi,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2013,OTHER IPC CRIMES,0,0,0,30,0,30,18,3,21,31,2,33,79,5,84
Delhi,2013,TOTAL IPC,0,0,0,1146,16,1162,1348,55,1403,335,35,370,2829,106,2935
Goa,2013,MURDER,0,0,0,0,0,0,39,2,41,6,0,6,45,2,47
Goa,2013,ATTEMPT TO COMMIT MURDER,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
Goa,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
Goa,2013,RAPE,0,0,0,0,0,0,15,0,15,2,0,2,17,0,17
Goa,2013,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,6,1,7,0,0,0,6,1,7
Goa,2013,DACOITY,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Goa,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2013,ROBBERY,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6
Goa,2013,BURGLARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2013,THEFTS,0,0,0,0,0,0,4,1,5,0,0,0,4,1,5
Goa,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2013,CHEATING,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Goa,2013,COUNTER FEITING,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Goa,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
